"cohortId","name","cohortName","logicDescription","phenotypeId","atlasId","concept_id","concept_name","concept_code","matching_drug_cohort_id","intersection_drug","intersection_event","fixed_TAR"
2,"generic_target_drug_cohort","Cyclophosphamide (TAR=30)","Cyclophosphamide (TAR=30)",0,0,1310317,"Cyclophosphamide","3002",0,0,0,30
7,"generic_target_drug_cohort","Cyclophosphamide (TAR=90)","Cyclophosphamide (TAR=90)",0,0,1310317,"Cyclophosphamide","3002",0,0,0,90
12,"generic_target_drug_cohort","Cyclophosphamide (TAR=365)","Cyclophosphamide (TAR=365)",0,0,1310317,"Cyclophosphamide","3002",0,0,0,365
17,"generic_comparator_drug_cohort","All drugs (matched to Cyclophosphamide) (TAR=30)","All drugs (matched to Cyclophosphamide) (TAR=30)",0,0,0,"0","0",2,0,0,30
22,"generic_comparator_drug_cohort","All drugs (matched to Cyclophosphamide) (TAR=90)","All drugs (matched to Cyclophosphamide) (TAR=90)",0,0,0,"0","0",7,0,0,90
27,"generic_comparator_drug_cohort","All drugs (matched to Cyclophosphamide) (TAR=365)","All drugs (matched to Cyclophosphamide) (TAR=365)",0,0,0,"0","0",12,0,0,365
33,"386","Appendicitis","Appendicitis",386,0,0,"0","0",0,0,0,0
42,"generic_intersection_drug_event","Cyclophosphamide + Appendicitis (anch. drug start) (TAR=30)","Cyclophosphamide + Appendicitis (anch. drug start) (TAR=30)",0,0,0,"0","0",0,2,33,30
58,"generic_intersection_drug_event","Cyclophosphamide + Appendicitis (anch. drug start) (TAR=90)","Cyclophosphamide + Appendicitis (anch. drug start) (TAR=90)",0,0,0,"0","0",0,7,33,90
74,"generic_intersection_drug_event","Cyclophosphamide + Appendicitis (anch. drug start) (TAR=365)","Cyclophosphamide + Appendicitis (anch. drug start) (TAR=365)",0,0,0,"0","0",0,12,33,365
90,"generic_intersection_drug_event2","Cyclophosphamide + Appendicitis (anch. event start) (TAR=30)","Cyclophosphamide + Appendicitis (anch. event start) (TAR=30)",0,0,0,"0","0",0,2,33,30
106,"generic_intersection_drug_event2","Cyclophosphamide + Appendicitis (anch. event start) (TAR=90)","Cyclophosphamide + Appendicitis (anch. event start) (TAR=90)",0,0,0,"0","0",0,7,33,90
122,"generic_intersection_drug_event2","Cyclophosphamide + Appendicitis (anch. event start) (TAR=365)","Cyclophosphamide + Appendicitis (anch. event start) (TAR=365)",0,0,0,"0","0",0,12,33,365
